SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
0,0.0004,ac:15:18:d5:52:64,128,44 -64 2 0 -22 -7 -25 -7 -22 -4 -22 -5 -22 -5 -22 -4 -21 -4 -23 -2 -20 -4 -22 -4 -21 -3 -21 -3 -23 -3 -21 -4 -23 -5 -21 -5 -22 -4 -20 -6 -19 -5 -19 -6 -18 -6 -16 -6 -17 -7 -16 -7 -15 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -7 -18 -8 -17 -8 -20 -10 -17 -9 -18 -10 -19 -10 -17 -10 -19 -10 -17 -9 -20 -12 -20 -11 -19 -12 -20 -11 -19 -10 -20 -10 -20 -10 -18 -7 -19 -9 -19 -8 -19 -8 -21 -7 -19 -5 -21 -8 -22 -6 -21 -8
2,0.0203,ac:15:18:d5:52:64,128,44 -64 2 0 -10 -6 -11 -7 -10 -6 -10 -6 -10 -6 -10 -6 -10 -5 -10 -5 -10 -5 -10 -5 -10 -4 -10 -5 -11 -5 -10 -5 -11 -6 -10 -5 -10 -5 -9 -6 -9 -5 -8 -6 -9 -6 -7 -5 -8 -6 -7 -6 -7 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -7 -7 -7 -7 -7 -8 -8 -6 -7 -7 -8 -6 -8 -6 -8 -6 -9 -7 -7 -7 -9 -8 -8 -7 -9 -8 -8 -7 -8 -8 -9 -8 -8 -7 -6 -8 -8 -8 -7 -8 -7 -9 -7 -9 -6 -9 -7 -10 -7 -9 -7
4,0.0390,ac:15:18:d5:52:64,128,44 -64 2 0 9 -6 9 -7 9 -7 8 -7 9 -6 8 -7 8 -6 8 -8 8 -7 8 -7 7 -7 8 -7 8 -8 8 -7 9 -7 9 -7 8 -7 8 -6 8 -6 8 -5 8 -5 7 -4 8 -4 7 -4 7 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -4 8 -4 8 -4 9 -4 8 -3 8 -3 9 -3 8 -3 9 -3 9 -3 10 -3 10 -4 10 -3 10 -4 9 -4 10 -4 9 -4 8 -4 9 -4 9 -4 8 -4 9 -5 8 -5 9 -5 9 -6 10 -6
6,0.0612,ac:15:18:d5:52:64,128,44 -64 2 0 -11 -5 -12 -5 -11 -4 -11 -4 -11 -4 -11 -4 -10 -3 -11 -3 -11 -3 -11 -3 -11 -3 -11 -3 -11 -3 -11 -4 -12 -5 -11 -4 -11 -4 -10 -4 -10 -4 -9 -4 -9 -4 -8 -4 -9 -5 -8 -5 -8 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -8 -6 -8 -6 -9 -7 -8 -6 -8 -7 -8 -7 -8 -6 -9 -7 -8 -6 -9 -7 -9 -7 -9 -7 -9 -7 -9 -6 -10 -7 -10 -7 -9 -5 -9 -6 -9 -6 -9 -5 -10 -5 -10 -4 -10 -5 -11 -5 -11 -6
8,0.0806,ac:15:18:d5:52:64,128,44 -64 2 0 4 -24 3 -24 1 -24 2 -22 2 -22 1 -23 1 -21 -1 -23 0 -22 0 -23 -1 -21 -2 -22 -1 -22 -1 -23 0 -23 0 -24 1 -22 1 -21 2 -20 2 -20 1 -20 3 -18 3 -19 3 -17 5 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -17 8 -17 8 -18 9 -19 8 -17 9 -17 9 -18 9 -17 9 -19 9 -18 11 -19 10 -20 11 -19 9 -20 9 -18 9 -21 8 -20 6 -20 7 -20 7 -20 6 -19 5 -21 4 -20 6 -21 4 -23 5 -22
10,0.0988,ac:15:18:d5:52:64,128,44 -64 2 0 22 0 24 0 22 -2 22 -1 22 -1 22 -1 21 -2 22 -3 20 -2 22 -3 20 -3 21 -3 21 -3 21 -2 24 -1 21 -1 22 -1 20 0 19 0 18 1 18 1 16 1 17 3 16 3 16 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 3 17 4 17 4 20 4 17 4 18 6 19 5 18 5 20 6 17 5 21 7 20 5 20 7 21 5 19 5 21 5 21 4 18 2 20 3 20 4 19 2 21 2 18 1 21 2 23 2 22 2
12,0.1208,ac:15:18:d5:52:64,128,44 -64 2 0 22 5 23 5 22 2 21 2 21 4 22 3 21 2 22 1 21 1 23 1 21 0 21 0 22 1 21 2 23 3 22 3 22 3 20 4 19 4 17 5 18 4 16 5 17 5 15 5 15 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 6 17 7 17 7 18 8 16 8 17 8 18 9 16 8 17 9 17 8 19 9 19 8 19 10 19 9 18 8 20 9 19 8 18 6 19 7 19 7 19 6 20 5 18 4 20 5 22 4 22 5
14,0.1406,ac:15:18:d5:52:64,128,44 -64 2 0 6 23 6 22 8 21 7 20 7 21 8 20 7 19 9 19 9 20 9 21 8 18 8 19 8 19 10 21 9 20 8 21 8 20 6 19 6 19 4 18 6 18 3 17 3 18 2 16 1 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 18 0 17 0 19 0 20 0 19 -1 19 0 20 -1 18 0 20 -1 19 -1 22 -1 21 -3 21 -1 21 0 19 0 23 1 20 2 19 2 20 3 20 3 19 4 20 4 19 4 21 5 22 3 21
16,0.1596,ac:15:18:d5:52:64,128,44 -64 2 0 11 20 11 20 13 19 11 18 12 18 13 18 12 17 14 17 13 17 13 18 12 16 12 16 12 17 13 18 12 19 12 19 11 18 9 18 10 16 8 17 9 16 6 16 6 17 5 16 4 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 17 6 16 6 18 6 18 6 18 5 18 6 19 5 17 7 20 6 18 5 21 7 21 5 21 6 20 6 19 7 21 7 20 8 18 7 19 8 19 8 18 10 18 9 17 8 20 11 21 9 19
18,0.1798,ac:15:18:d5:52:64,128,44 -64 2 0 -22 13 -20 14 -18 15 -17 13 -19 13 -18 13 -17 12 -18 15 -16 14 -17 16 -15 15 -15 16 -16 15 -17 15 -18 13 -18 15 -17 12 -19 11 -17 10 -17 9 -17 9 -16 9 -16 9 -15 8 -16 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 9 -16 7 -18 8 -19 8 -18 8 -18 6 -20 7 -19 6 -20 6 -18 8 -21 9 -20 10 -20 8 -20 9 -18 7 -22 9 -20 9 -18 10 -18 9 -19 8 -18 9 -19 11 -17 12 -19 12 -19 14 -18 12
20,0.1992,ac:15:18:d5:52:64,128,44 -64 2 0 -8 -24 -9 -23 -10 -22 -9 -21 -9 -21 -10 -21 -9 -21 -11 -21 -10 -20 -11 -21 -11 -19 -11 -20 -10 -20 -11 -21 -10 -22 -10 -22 -9 -20 -7 -20 -8 -19 -6 -19 -7 -19 -6 -18 -5 -19 -4 -18 -3 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -19 -2 -19 -2 -20 -2 -21 -2 -20 0 -20 -1 -21 -1 -20 -1 -22 -1 -20 -1 -23 -2 -23 0 -22 -1 -21 -2 -21 -2 -24 -3 -22 -4 -20 -4 -21 -4 -22 -4 -20 -6 -22 -6 -20 -6 -22 -7 -23 -5 -22
22,0.2189,ac:15:18:d5:52:64,128,44 -64 2 0 -1 11 -1 11 0 12 0 11 0 11 0 11 0 10 1 11 0 10 0 11 0 10 0 11 0 10 0 11 0 11 0 11 0 11 -1 10 0 10 -2 9 -1 9 -2 8 -2 9 -3 8 -3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 8 -3 8 -3 9 -3 9 -3 9 -3 9 -3 10 -3 9 -3 10 -3 9 -5 10 -4 10 -5 10 -4 10 -3 9 -3 10 -3 10 -2 9 -2 9 -2 10 -2 9 -1 10 -1 10 -2 11 -1 11 -2 11
25,0.2410,ac:15:18:d5:52:64,128,44 -64 2 0 -15 -19 -17 -20 -16 -16 -15 -17 -15 -18 -16 -17 -15 -15 -17 -16 -15 -15 -17 -16 -17 -15 -17 -15 -17 -16 -16 -16 -17 -19 -16 -16 -15 -17 -14 -17 -13 -16 -12 -16 -12 -16 -10 -13 -10 -16 -10 -15 -8 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -16 -9 -18 -9 -17 -10 -20 -8 -17 -8 -19 -9 -19 -8 -18 -8 -20 -9 -17 -9 -21 -10 -21 -8 -21 -10 -20 -9 -20 -10 -21 -11 -21 -10 -16 -11 -19 -10 -19 -11 -18 -13 -19 -12 -16 -13 -19 -15 -19 -14 -20
26,0.2591,ac:15:18:d5:52:64,128,44 -64 2 0 4 10 4 11 5 9 5 9 5 9 5 9 5 9 5 9 5 8 5 9 5 8 5 9 6 9 4 10 5 11 4 9 4 9 4 9 4 8 3 9 3 8 3 8 2 9 1 8 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 2 8 2 9 2 9 2 9 1 9 1 9 2 9 1 10 2 9 2 10 2 10 2 10 2 10 2 9 2 10 2 10 3 8 2 9 3 9 3 9 3 9 4 8 3 10 5 10 5 11
28,0.2788,ac:15:18:d5:52:64,128,44 -64 2 0 -14 -20 -15 -21 -15 -18 -15 -18 -14 -18 -15 -18 -14 -16 -16 -17 -14 -16 -15 -17 -16 -16 -16 -16 -17 -17 -15 -17 -15 -19 -15 -18 -14 -17 -13 -18 -12 -17 -11 -16 -12 -17 -9 -15 -9 -17 -9 -16 -8 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -17 -8 -18 -8 -18 -8 -20 -7 -18 -7 -19 -8 -20 -7 -19 -8 -20 -7 -18 -7 -22 -8 -21 -8 -22 -8 -21 -8 -20 -9 -21 -9 -21 -9 -18 -10 -20 -10 -19 -10 -18 -12 -19 -12 -16 -11 -19 -13 -20 -13 -20
30,0.3002,ac:15:18:d5:52:64,128,44 -64 2 0 -3 -25 -3 -24 -5 -24 -4 -22 -3 -23 -6 -23 -4 -21 -7 -22 -5 -22 -6 -23 -5 -21 -6 -21 -6 -21 -6 -23 -5 -23 -5 -23 -5 -22 -3 -21 -4 -20 -2 -20 -4 -20 -2 -19 -1 -19 -1 -18 0 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -19 3 -18 3 -20 3 -20 3 -20 3 -19 4 -21 4 -19 4 -21 3 -19 5 -23 4 -22 5 -22 4 -21 3 -19 3 -23 1 -21 0 -21 1 -21 1 -21 -1 -20 -1 -22 -2 -20 0 -23 -2 -23 -1 -23
32,0.3188,ac:15:18:d5:52:64,128,44 -64 2 0 12 -21 12 -21 9 -21 10 -20 10 -20 9 -21 8 -19 9 -22 8 -20 8 -22 7 -20 7 -20 8 -21 9 -21 10 -21 10 -20 9 -19 11 -18 9 -17 10 -17 10 -16 10 -15 10 -15 10 -13 11 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -15 11 -14 12 -15 13 -16 12 -14 13 -15 14 -15 13 -14 14 -15 12 -15 15 -16 14 -17 15 -16 14 -16 13 -16 15 -17 14 -17 11 -16 12 -17 13 -16 10 -17 12 -18 9 -17 12 -18 11 -20 11 -19
