SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
1,0.0146,ac:15:18:d4:c9:64,128,44 -64 2 0 4 -13 4 -13 3 -13 4 -13 4 -13 3 -13 3 -12 3 -13 3 -13 3 -13 2 -12 2 -13 2 -13 3 -13 4 -14 4 -13 4 -13 4 -12 4 -11 5 -11 4 -11 4 -10 5 -10 5 -9 5 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -9 6 -9 6 -10 6 -10 6 -9 6 -9 7 -10 7 -9 7 -10 6 -9 8 -10 7 -11 7 -10 7 -10 6 -10 7 -11 6 -11 5 -10 5 -10 5 -11 5 -10 5 -12 4 -11 5 -12 5 -13 5 -12
3,0.0329,ac:15:18:d4:c9:64,128,44 -64 2 0 21 -5 22 -5 19 -6 19 -6 20 -6 19 -7 19 -7 19 -8 18 -8 19 -8 18 -8 18 -8 19 -8 20 -7 21 -7 20 -7 19 -6 20 -5 18 -5 18 -4 18 -4 16 -3 17 -3 16 -3 16 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -1 16 0 17 0 18 0 17 0 18 0 18 1 17 0 19 1 17 0 20 1 20 -1 19 1 19 0 18 0 20 0 20 -1 17 -2 19 -2 19 -1 18 -3 19 -4 16 -4 19 -4 20 -5 19 -4
4,0.0525,ac:15:18:d4:c9:64,128,44 -64 2 0 19 -9 20 -11 17 -11 17 -11 18 -10 17 -11 17 -11 17 -12 15 -11 17 -13 15 -13 15 -13 17 -13 17 -12 20 -12 18 -12 18 -11 18 -9 16 -9 17 -8 17 -8 14 -7 16 -7 15 -7 16 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -5 17 -4 16 -4 19 -5 16 -4 18 -3 18 -3 17 -3 19 -3 16 -4 19 -4 19 -6 19 -4 18 -5 18 -5 19 -5 19 -6 16 -7 18 -6 18 -6 16 -7 18 -8 15 -9 18 -8 18 -10 18 -9
6,0.0727,ac:15:18:d4:c9:64,128,44 -64 2 0 11 18 13 18 13 15 13 15 13 16 13 16 12 14 14 15 13 14 14 15 13 14 14 15 14 15 13 15 14 17 13 16 13 16 11 17 11 15 9 15 9 15 8 14 8 15 7 14 6 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 15 6 15 6 16 7 17 6 16 6 17 6 17 6 16 6 18 6 16 6 19 7 18 6 18 7 18 6 17 7 18 7 18 8 15 8 17 8 17 9 15 10 17 9 14 10 17 12 17 10 16
9,0.0929,ac:15:18:d4:c9:64,128,44 -64 2 0 9 9 10 9 10 7 9 8 9 8 10 7 9 7 10 7 9 7 10 7 10 6 10 7 10 7 10 8 10 9 10 8 9 8 8 8 8 8 7 8 7 8 6 8 6 8 6 8 5 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 8 6 8 6 8 6 9 6 9 6 9 6 10 5 9 6 10 6 8 6 10 7 10 6 10 6 9 6 9 6 10 7 9 7 8 7 9 7 9 7 8 8 8 8 7 8 9 9 8 9 9
11,0.1149,ac:15:18:d4:c9:64,128,44 -64 2 0 -18 13 -18 13 -17 14 -16 13 -16 13 -15 15 -15 13 -14 15 -15 13 -16 14 -15 13 -15 14 -15 14 -16 15 -16 15 -17 15 -17 14 -16 12 -15 12 -15 10 -15 11 -15 9 -16 8 -15 8 -15 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 7 -16 6 -17 7 -18 7 -17 6 -17 6 -18 8 -17 5 -18 8 -17 6 -20 5 -19 6 -19 5 -18 6 -17 6 -20 8 -18 8 -16 8 -17 8 -17 9 -16 9 -16 11 -15 10 -18 9 -18 11 -17 10
13,0.1334,ac:15:18:d4:c9:64,128,44 -64 2 0 -3 -14 -3 -14 -3 -13 -3 -13 -3 -13 -4 -13 -3 -13 -4 -13 -4 -12 -4 -13 -4 -12 -4 -13 -4 -13 -3 -13 -3 -14 -3 -13 -3 -13 -2 -13 -2 -12 -2 -12 -2 -12 -1 -11 0 -12 0 -11 0 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 0 -11 0 -11 1 -12 1 -11 1 -12 1 -13 1 -11 1 -12 1 -11 2 -13 1 -13 2 -13 1 -13 1 -12 1 -13 0 -13 -1 -11 -1 -12 0 -12 -1 -12 -1 -13 -2 -11 -1 -13 -2 -14 -1 -14
15,0.1557,ac:15:18:d4:c9:64,128,44 -64 2 0 6 21 7 20 8 19 7 19 7 19 8 19 8 18 9 18 7 18 8 19 8 18 8 18 8 18 8 19 7 20 7 20 7 20 5 18 6 18 4 18 5 17 3 16 2 18 1 16 1 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 16 2 16 1 17 1 18 1 17 1 17 1 19 1 17 2 18 1 17 -1 20 0 20 -1 19 0 19 1 18 2 20 3 19 3 17 3 18 3 18 4 17 5 18 5 17 3 20 5 20 4 19
17,0.1737,ac:15:18:d4:c9:64,128,44 -64 2 0 -20 -11 -20 -11 -21 -9 -19 -9 -19 -10 -19 -8 -18 -8 -21 -8 -19 -8 -20 -9 -19 -8 -19 -8 -19 -8 -20 -10 -21 -10 -20 -10 -19 -10 -18 -11 -17 -10 -16 -11 -16 -11 -15 -11 -15 -12 -13 -11 -13 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -10 -14 -11 -15 -12 -15 -12 -14 -12 -14 -12 -15 -13 -14 -12 -15 -13 -15 -12 -15 -14 -16 -14 -15 -14 -15 -14 -15 -12 -17 -14 -16 -13 -15 -11 -16 -11 -16 -12 -16 -10 -17 -11 -17 -9 -17 -11 -19 -11 -18 -11
18,0.1930,ac:15:18:d4:c9:64,128,44 -64 2 0 20 3 22 3 20 0 20 1 20 2 20 1 19 1 21 0 18 0 21 -1 19 -1 20 -1 21 -1 20 1 23 2 20 1 21 2 19 4 18 3 18 4 18 3 15 4 17 4 16 4 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 4 16 6 15 6 18 6 15 6 17 7 17 7 15 7 16 8 16 5 19 7 18 6 18 7 18 6 17 6 18 7 19 6 16 4 18 5 17 5 17 4 19 4 16 2 19 3 21 2 20 4
