SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
0,0.0006,ac:15:18:d5:52:64,128,44 -64 2 0 11 -6 11 -5 11 -7 9 -6 11 -5 10 -6 10 -6 10 -7 10 -6 10 -7 9 -6 9 -6 9 -6 10 -6 10 -6 11 -6 10 -5 10 -4 9 -4 9 -3 9 -4 9 -3 9 -3 8 -2 8 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -3 8 -3 10 -3 10 -3 10 -3 9 -3 10 -3 9 -2 11 -2 10 -3 12 -2 11 -3 11 -2 11 -3 10 -3 11 -3 10 -3 9 -4 10 -3 10 -4 10 -4 10 -5 10 -5 11 -4 11 -5 11 -4
2,0.0205,ac:15:18:d5:52:64,128,44 -64 2 0 6 -23 6 -24 3 -22 4 -22 4 -22 3 -22 3 -20 3 -22 2 -21 2 -22 2 -21 2 -22 2 -22 3 -21 4 -23 3 -21 3 -20 5 -20 4 -19 5 -18 5 -18 4 -16 5 -17 5 -16 7 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -17 7 -17 7 -17 8 -19 7 -17 9 -18 8 -19 8 -17 9 -18 7 -18 9 -19 9 -20 10 -20 9 -19 8 -19 9 -20 8 -20 6 -18 7 -20 7 -19 6 -19 7 -21 4 -18 7 -20 6 -23 6 -22
4,0.0404,ac:15:18:d5:52:64,128,44 -64 2 0 6 -23 6 -23 5 -24 4 -21 4 -22 3 -23 4 -21 2 -22 3 -22 3 -22 3 -21 3 -20 3 -21 3 -23 4 -22 4 -23 4 -20 5 -20 4 -19 5 -18 4 -18 5 -16 7 -17 6 -15 7 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -16 8 -16 9 -18 9 -18 9 -17 9 -16 10 -18 9 -16 10 -18 10 -18 12 -19 11 -19 12 -18 11 -18 9 -16 11 -20 9 -19 8 -19 8 -18 8 -19 7 -18 6 -21 6 -20 8 -20 7 -22 7 -20
6,0.0607,ac:15:18:d5:52:64,128,44 -64 2 0 -23 -7 -22 -7 -24 -4 -22 -5 -22 -5 -22 -4 -21 -4 -22 -2 -21 -4 -22 -4 -20 -4 -21 -4 -21 -4 -22 -3 -22 -5 -22 -6 -21 -5 -20 -6 -19 -4 -18 -6 -18 -5 -16 -6 -17 -8 -15 -8 -15 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -9 -16 -9 -17 -10 -18 -10 -17 -10 -16 -10 -19 -10 -16 -10 -19 -10 -17 -11 -19 -14 -19 -12 -18 -14 -18 -13 -17 -11 -21 -11 -19 -11 -19 -9 -19 -10 -20 -9 -19 -8 -21 -7 -19 -6 -20 -9 -22 -8 -21 -9
8,0.0805,ac:15:18:d5:52:64,128,44 -64 2 0 18 12 19 12 20 10 18 10 18 11 19 10 18 9 19 9 18 9 19 9 17 8 18 8 18 8 19 10 19 10 19 10 17 10 16 10 16 9 14 10 14 9 13 10 13 11 11 10 11 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 12 12 12 13 13 14 14 13 13 12 14 13 15 12 13 14 15 12 13 14 17 14 15 13 16 14 16 13 14 15 17 15 14 14 12 14 13 15 13 16 13 17 12 16 10 16 13 18 13 17 13
10,0.1005,ac:15:18:d5:52:64,128,44 -64 2 0 22 -2 23 -2 21 -4 22 -3 22 -3 21 -3 20 -4 21 -5 19 -4 21 -4 19 -4 20 -5 21 -4 20 -3 22 -3 21 -2 21 -3 20 -1 18 -2 17 0 17 -1 16 0 16 2 15 2 16 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 18 1 18 1 20 1 17 1 19 3 20 3 18 3 20 2 18 2 21 4 21 3 21 4 20 3 20 2 21 3 22 2 18 0 20 1 20 1 19 0 21 -1 18 -2 21 0 22 -1 22 0
12,0.1205,ac:15:18:d5:52:64,128,44 -64 2 0 -21 -12 -20 -11 -22 -10 -20 -8 -20 -10 -21 -9 -20 -9 -21 -8 -21 -8 -22 -9 -20 -7 -20 -7 -20 -8 -21 -9 -20 -10 -20 -10 -19 -9 -18 -10 -17 -9 -16 -10 -16 -9 -15 -9 -15 -11 -13 -10 -12 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -11 -14 -12 -15 -13 -16 -13 -14 -13 -15 -13 -16 -14 -14 -13 -16 -14 -16 -13 -17 -16 -17 -15 -16 -15 -17 -15 -15 -13 -18 -16 -17 -14 -17 -12 -16 -12 -17 -13 -17 -12 -19 -11 -18 -10 -19 -12 -20 -12 -19 -12
14,0.1407,ac:15:18:d5:52:64,128,44 -64 2 0 22 -6 22 -6 22 -8 20 -7 20 -6 20 -7 19 -7 20 -9 20 -7 20 -8 19 -7 19 -7 18 -7 20 -7 21 -6 21 -6 19 -6 19 -5 18 -6 18 -2 17 -5 17 -2 17 0 16 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -3 17 -1 19 -2 19 -2 18 -1 19 -1 20 -1 18 0 20 -2 19 -1 22 2 22 0 21 1 20 0 19 0 22 -1 20 -1 19 -2 20 -2 20 -3 19 -4 20 -5 19 -5 21 -2 22 -4 21 -4
17,0.1613,ac:15:18:d5:52:64,128,44 -64 2 0 -9 -9 -8 -9 -9 -8 -8 -8 -8 -9 -8 -8 -8 -8 -9 -7 -8 -8 -8 -8 -8 -7 -8 -8 -9 -8 -9 -8 -8 -9 -8 -8 -8 -8 -7 -8 -7 -8 -6 -8 -7 -8 -5 -7 -6 -8 -5 -7 -4 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -8 -5 -8 -5 -9 -6 -9 -5 -9 -5 -9 -5 -10 -4 -9 -5 -9 -5 -9 -5 -11 -5 -10 -5 -10 -5 -10 -5 -9 -5 -10 -6 -10 -6 -8 -6 -9 -6 -9 -6 -9 -6 -9 -7 -8 -7 -9 -8 -9 -7 -10
18,0.1809,ac:15:18:d5:52:64,128,44 -64 2 0 22 6 22 6 22 3 20 3 21 5 21 3 20 3 22 2 20 2 21 3 20 2 20 1 21 2 21 3 21 4 21 4 20 4 19 5 18 4 17 5 17 5 16 4 16 6 14 6 14 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 6 16 7 17 8 17 9 16 8 16 9 18 10 15 9 17 10 17 8 18 11 19 10 18 11 18 10 17 9 19 10 19 9 17 7 18 8 18 7 18 7 19 6 19 4 20 7 22 6 21 7
