SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
21,0.2013,ac:15:18:d4:c9:64,128,44 -64 2 0 -3 -14 -3 -14 -4 -13 -3 -12 -3 -13 -4 -13 -4 -12 -4 -13 -4 -12 -5 -13 -5 -12 -5 -13 -5 -13 -4 -13 -3 -14 -3 -13 -3 -13 -2 -13 -2 -12 -1 -12 -2 -12 -1 -11 -1 -11 -1 -11 0 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 0 -12 -1 -12 0 -11 0 -12 0 -12 0 -11 0 -12 0 -11 0 -13 -1 -13 0 -13 0 -13 0 -12 0 -13 -1 -13 -1 -12 -1 -12 -1 -12 -2 -12 -2 -13 -3 -11 -2 -13 -3 -13 -2 -13
23,0.2211,ac:15:18:d4:c9:64,128,44 -64 2 0 -3 22 -3 22 -1 21 -1 20 -1 20 0 21 0 19 1 21 0 19 -1 21 0 19 0 20 0 20 -1 21 -1 22 -1 21 -1 20 -3 20 -2 18 -3 18 -3 18 -4 16 -5 17 -5 16 -5 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 16 -6 15 -6 17 -7 17 -7 16 -7 16 -7 18 -7 16 -7 18 -7 16 -9 18 -8 19 -9 17 -8 18 -7 17 -7 19 -6 18 -4 17 -5 18 -5 18 -4 17 -3 19 -3 17 -5 19 -4 21 -4 19
24,0.2387,ac:15:18:d4:c9:64,128,44 -64 2 0 -22 1 -23 2 -21 3 -22 3 -21 2 -21 3 -20 2 -21 4 -19 3 -21 3 -20 3 -21 4 -22 3 -21 3 -24 2 -21 2 -22 1 -20 -1 -19 0 -19 -1 -19 -1 -17 -1 -18 -2 -17 -2 -17 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -18 -2 -18 -2 -20 -2 -17 -2 -19 -3 -19 -3 -17 -4 -19 -4 -17 -2 -20 -4 -20 -3 -20 -4 -20 -3 -19 -3 -20 -3 -21 -2 -17 -1 -20 -2 -19 -2 -18 -1 -20 0 -17 1 -20 0 -22 1 -22 0
27,0.2611,ac:15:18:d4:c9:64,128,44 -64 2 0 10 -8 11 -9 9 -9 9 -9 10 -9 9 -9 9 -9 9 -9 8 -9 9 -9 8 -9 9 -10 9 -10 9 -9 11 -9 9 -9 9 -8 9 -8 9 -7 9 -7 9 -7 8 -6 9 -6 9 -5 9 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -5 9 -4 9 -5 11 -5 9 -4 10 -4 10 -4 9 -4 11 -4 9 -5 11 -4 11 -5 11 -5 11 -5 10 -5 11 -5 11 -6 9 -6 10 -5 10 -6 9 -6 10 -7 8 -7 10 -7 10 -8 11 -8
29,0.2828,ac:15:18:d4:c9:64,128,44 -64 2 0 -20 9 -21 10 -18 10 -18 10 -18 10 -18 11 -17 10 -18 12 -17 10 -18 11 -16 11 -17 12 -18 12 -18 11 -19 12 -19 11 -18 11 -18 9 -17 9 -17 8 -17 8 -16 6 -17 6 -16 5 -16 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 3 -18 2 -18 2 -19 3 -18 2 -19 2 -19 2 -18 1 -19 2 -18 2 -21 1 -20 3 -20 1 -20 3 -19 3 -21 3 -20 4 -17 5 -19 5 -19 5 -18 6 -19 7 -16 6 -19 6 -20 8 -20 7
31,0.3004,ac:15:18:d4:c9:64,128,44 -64 2 0 3 -14 3 -13 2 -14 2 -13 3 -13 1 -13 2 -13 1 -13 2 -13 2 -14 1 -13 1 -13 1 -13 2 -14 2 -13 3 -14 2 -13 3 -12 2 -12 3 -11 3 -11 3 -11 4 -11 4 -10 4 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -10 4 -9 5 -10 5 -10 5 -10 5 -9 6 -11 6 -10 6 -10 5 -10 7 -11 6 -11 7 -11 6 -11 5 -10 6 -12 5 -11 4 -11 4 -11 4 -11 4 -11 3 -12 3 -11 4 -12 4 -13 5 -13
33,0.3214,ac:15:18:d4:c9:64,128,44 -64 2 0 13 -1 13 -1 13 -2 12 -2 12 -2 12 -2 11 -2 12 -3 11 -3 12 -3 11 -3 12 -3 12 -3 13 -3 14 -2 13 -2 12 -1 12 0 11 -1 11 0 11 0 10 0 10 0 10 0 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 1 10 1 10 1 11 1 10 1 10 1 11 2 10 2 11 2 10 1 12 2 12 1 11 2 12 1 11 1 12 2 12 1 10 0 11 0 11 0 11 0 11 0 10 -1 12 0 13 -1 13 -1
34,0.3388,ac:15:18:d4:c9:64,128,44 -64 2 0 -3 -23 -3 -22 -5 -22 -4 -20 -3 -21 -5 -21 -3 -20 -6 -21 -4 -21 -5 -22 -5 -19 -6 -20 -5 -20 -5 -21 -4 -21 -4 -23 -4 -21 -2 -21 -2 -20 -1 -19 -1 -19 0 -18 0 -18 0 -17 1 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -17 2 -17 2 -19 2 -19 2 -18 3 -18 3 -19 4 -17 3 -19 3 -18 4 -20 3 -20 4 -20 3 -20 2 -18 2 -21 1 -19 0 -19 0 -19 1 -19 0 -18 -1 -20 -2 -19 -1 -20 -2 -22 -1 -20
37,0.3616,ac:15:18:d4:c9:64,128,44 -64 2 0 11 6 11 6 12 5 11 4 11 5 11 4 11 4 12 4 11 4 12 5 11 4 11 4 11 4 11 4 12 5 12 6 11 5 10 5 10 5 9 6 9 5 8 6 8 6 7 6 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 8 6 8 6 8 7 8 6 8 7 9 7 7 7 9 7 8 7 8 8 9 8 8 8 9 8 8 7 9 8 9 7 9 6 9 6 9 6 9 6 10 5 9 5 10 7 11 6 11 6
39,0.3814,ac:15:18:d4:c9:64,128,44 -64 2 0 -2 12 -2 14 0 12 0 12 -1 12 -1 12 0 12 0 13 0 10 0 13 0 12 0 12 0 13 -1 12 -1 14 -1 12 -1 13 -2 12 -1 11 -2 11 -3 11 -2 9 -3 10 -3 9 -3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 9 -3 10 -3 9 -4 11 -3 9 -4 11 -4 11 -4 10 -5 11 -3 10 -4 11 -4 11 -4 11 -4 11 -4 11 -4 11 -4 12 -2 10 -3 11 -3 11 -2 11 -2 11 -1 10 -2 11 -1 13 -2 13
40,0.3989,ac:15:18:d4:c9:64,128,44 -64 2 0 6 -22 5 -22 3 -21 4 -20 4 -20 3 -21 2 -20 2 -21 2 -20 2 -21 1 -20 1 -21 1 -21 3 -21 4 -23 4 -21 3 -21 4 -20 4 -19 5 -19 5 -18 5 -17 6 -17 6 -16 6 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -16 7 -16 8 -17 8 -17 8 -16 9 -16 9 -16 8 -16 10 -17 8 -16 10 -18 9 -18 10 -17 9 -18 8 -17 9 -18 8 -18 6 -17 7 -18 7 -18 6 -17 6 -19 4 -17 6 -19 5 -21 5 -20
43,0.4217,ac:15:18:d4:c9:64,128,44 -64 2 0 3 -14 3 -14 2 -13 2 -13 2 -13 1 -13 2 -12 1 -14 1 -13 1 -14 0 -13 0 -13 1 -14 2 -13 2 -14 2 -13 2 -13 3 -13 2 -12 3 -11 3 -12 2 -11 3 -11 3 -10 4 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -10 4 -10 5 -11 5 -11 5 -10 5 -10 5 -11 5 -10 6 -11 4 -10 6 -11 5 -12 5 -11 5 -11 4 -11 6 -12 5 -12 4 -11 4 -11 4 -11 3 -11 3 -12 2 -11 3 -12 2 -13 3 -13
45,0.4412,ac:15:18:d4:c9:64,128,44 -64 2 0 -23 3 -22 4 -21 5 -20 4 -20 5 -20 6 -20 5 -20 7 -20 5 -21 5 -19 5 -20 6 -20 6 -21 6 -22 5 -22 6 -21 5 -20 4 -19 4 -19 3 -18 3 -18 1 -18 0 -17 0 -17 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -17 -2 -19 -3 -19 -3 -18 -3 -18 -3 -20 -3 -17 -3 -19 -3 -18 -3 -21 -5 -21 -3 -20 -4 -19 -3 -18 -2 -21 -3 -20 -1 -18 0 -19 0 -20 0 -19 1 -19 2 -19 2 -21 0 -22 2 -20 1
46,0.4599,ac:15:18:d4:c9:64,128,44 -64 2 0 -8 -11 -9 -12 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -10 -10 -9 -9 -10 -10 -9 -9 -10 -9 -10 -10 -9 -10 -10 -11 -9 -10 -8 -10 -8 -10 -7 -10 -7 -10 -7 -10 -6 -9 -6 -10 -5 -9 -5 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -10 -4 -11 -4 -11 -5 -12 -4 -11 -4 -11 -4 -12 -4 -11 -4 -11 -5 -10 -4 -13 -5 -12 -5 -12 -5 -12 -5 -11 -5 -12 -6 -12 -5 -10 -6 -11 -6 -11 -6 -10 -7 -11 -7 -9 -7 -11 -8 -11 -7 -11
49,0.4792,ac:15:18:d4:c9:64,128,44 -64 2 0 -20 10 -20 10 -18 11 -18 10 -18 11 -18 12 -17 10 -17 13 -16 11 -18 11 -17 10 -17 11 -18 12 -18 12 -19 12 -19 11 -19 10 -18 9 -17 9 -17 7 -17 8 -16 6 -17 6 -16 4 -16 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 5 -16 4 -17 4 -19 4 -17 4 -18 4 -19 5 -17 3 -19 5 -18 4 -21 3 -20 4 -20 2 -20 4 -18 4 -21 5 -19 6 -17 6 -18 6 -18 7 -17 7 -18 9 -16 8 -19 7 -20 8 -19 7
