SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
1,0.0036,ac:15:18:d4:c9:64,128,44 -64 2 0 6 -12 6 -11 6 -13 5 -11 6 -11 5 -12 5 -12 4 -12 5 -12 5 -12 4 -11 4 -12 4 -11 5 -13 6 -12 6 -13 5 -11 6 -11 5 -10 6 -9 6 -10 6 -9 6 -9 6 -8 6 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -8 7 -8 7 -9 7 -8 7 -8 7 -8 8 -9 7 -7 8 -9 8 -8 9 -9 8 -9 9 -9 8 -9 7 -8 8 -9 7 -9 6 -9 7 -9 7 -9 7 -9 6 -11 6 -10 6 -10 7 -11 7 -11
3,0.0213,ac:15:18:d4:c9:64,128,44 -64 2 0 -13 -3 -15 -3 -13 -2 -13 -2 -13 -3 -13 -2 -12 -2 -13 -2 -12 -1 -13 -2 -13 -1 -13 -1 -14 -1 -13 -2 -14 -3 -13 -2 -13 -3 -12 -3 -12 -3 -12 -3 -11 -3 -10 -4 -11 -4 -10 -4 -10 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -5 -10 -5 -10 -5 -11 -6 -10 -5 -10 -6 -11 -6 -10 -6 -10 -6 -10 -5 -11 -7 -11 -6 -11 -6 -11 -6 -11 -6 -11 -6 -12 -6 -10 -4 -11 -5 -11 -5 -11 -4 -12 -4 -11 -3 -12 -4 -13 -3 -13 -4
5,0.0427,ac:15:18:d4:c9:64,128,44 -64 2 0 9 20 9 19 11 19 9 17 10 17 11 17 10 16 12 16 11 17 11 18 10 16 10 16 10 16 11 17 10 18 11 19 10 17 9 17 9 16 7 16 8 16 6 16 5 16 4 15 4 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 16 3 16 3 17 3 17 3 17 2 17 3 19 2 16 3 18 2 18 1 20 2 19 1 19 2 18 3 17 4 20 4 18 5 17 5 17 5 18 6 16 8 17 7 17 6 19 7 19 6 18
7,0.0628,ac:15:18:d4:c9:64,128,44 -64 2 0 6 -12 6 -11 6 -13 5 -12 6 -12 4 -12 5 -11 4 -12 5 -12 5 -12 4 -11 5 -12 4 -11 5 -13 5 -13 6 -13 5 -12 5 -11 5 -11 5 -10 5 -11 6 -9 7 -9 6 -8 6 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -8 7 -8 7 -8 7 -8 7 -8 7 -8 8 -9 7 -7 8 -9 8 -8 10 -8 9 -9 9 -8 9 -8 8 -8 8 -10 7 -9 6 -10 7 -9 7 -10 6 -9 6 -11 6 -10 7 -10 7 -11 7 -11
9,0.0824,ac:15:18:d4:c9:64,128,44 -64 2 0 -3 13 -3 13 -2 12 -2 12 -3 12 -2 12 -2 12 -1 12 -2 11 -2 12 -2 11 -1 12 -1 12 -2 13 -2 13 -2 13 -2 12 -3 12 -2 11 -3 11 -3 10 -3 9 -4 10 -4 9 -4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 9 -5 9 -5 9 -6 10 -5 9 -6 9 -6 10 -6 9 -6 10 -6 9 -7 10 -6 11 -7 10 -6 10 -5 10 -6 11 -5 11 -4 10 -5 10 -4 10 -5 10 -3 11 -3 10 -4 11 -4 12 -4 12
11,0.1006,ac:15:18:d4:c9:64,128,44 -64 2 0 8 -20 8 -22 5 -19 6 -20 7 -19 6 -20 5 -19 5 -21 5 -19 5 -21 4 -19 4 -20 5 -21 6 -20 7 -22 6 -20 7 -20 8 -19 7 -17 8 -17 8 -17 7 -15 9 -16 8 -14 9 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -15 9 -15 9 -15 10 -16 9 -14 10 -15 11 -15 10 -14 12 -15 9 -14 12 -16 11 -17 12 -16 11 -16 10 -16 11 -17 10 -18 7 -16 9 -17 9 -16 8 -16 8 -18 6 -16 9 -18 8 -20 8 -19
13,0.1213,ac:15:18:d4:c9:64,128,44 -64 2 0 7 -12 7 -11 6 -12 6 -11 7 -11 6 -12 6 -11 5 -12 6 -12 6 -12 5 -11 5 -11 6 -11 6 -12 7 -12 8 -12 7 -11 7 -10 6 -10 7 -9 7 -9 7 -8 8 -8 7 -7 7 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -8 7 -8 7 -9 8 -9 7 -8 7 -8 8 -8 7 -8 8 -8 8 -8 9 -9 8 -9 9 -9 8 -9 8 -8 9 -9 8 -9 7 -9 7 -9 7 -9 7 -9 7 -10 6 -10 7 -10 7 -11 7 -10
15,0.1412,ac:15:18:d4:c9:64,128,44 -64 2 0 15 -16 15 -16 14 -17 13 -16 13 -15 13 -17 13 -15 11 -17 12 -16 13 -17 11 -16 11 -16 12 -16 13 -18 14 -17 14 -17 14 -16 14 -14 12 -15 13 -13 12 -14 13 -11 13 -11 12 -10 13 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -9 14 -8 15 -9 16 -9 15 -9 15 -8 16 -9 15 -8 16 -9 16 -9 19 -9 18 -10 17 -8 17 -9 15 -9 17 -11 15 -11 14 -11 15 -11 15 -11 14 -12 14 -14 13 -12 16 -12 15 -14 15 -13
16,0.1607,ac:15:18:d4:c9:64,128,44 -64 2 0 -5 12 -5 12 -4 12 -4 12 -4 12 -3 12 -3 11 -3 12 -3 11 -4 12 -3 11 -3 11 -3 12 -4 12 -4 13 -4 12 -4 12 -5 11 -4 10 -5 10 -4 10 -5 9 -6 9 -5 8 -6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 8 -6 8 -6 9 -7 9 -6 9 -7 9 -7 9 -7 8 -7 9 -6 8 -8 10 -7 10 -8 9 -7 9 -7 9 -7 10 -7 10 -5 9 -6 10 -6 10 -5 10 -5 11 -4 10 -6 11 -5 12 -6 11
19,0.1810,ac:15:18:d4:c9:64,128,44 -64 2 0 -14 -2 -14 -1 -14 0 -13 0 -14 -1 -13 -1 -13 0 -13 0 -13 0 -14 0 -13 1 -13 1 -13 0 -14 0 -14 -1 -14 0 -13 -1 -13 -2 -12 -2 -12 -2 -12 -2 -11 -2 -11 -3 -10 -3 -10 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -2 -10 -3 -11 -3 -12 -4 -11 -3 -11 -4 -12 -4 -11 -4 -11 -4 -11 -3 -12 -4 -13 -4 -12 -4 -12 -3 -11 -3 -13 -4 -13 -3 -11 -2 -12 -3 -12 -3 -12 -2 -12 -2 -12 -1 -13 -2 -13 -1 -13 -2
