SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
1,0.0087,ac:15:18:d4:c9:64,128,44 -64 2 0 -21 -6 -21 -5 -21 -3 -20 -4 -20 -4 -20 -3 -19 -3 -21 -3 -19 -3 -21 -3 -19 -3 -20 -3 -20 -3 -21 -3 -21 -5 -21 -4 -20 -4 -19 -6 -18 -5 -17 -6 -17 -6 -16 -6 -17 -7 -15 -7 -14 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -7 -15 -7 -17 -8 -17 -8 -16 -8 -16 -9 -17 -9 -15 -8 -17 -9 -16 -8 -18 -10 -18 -9 -17 -10 -17 -9 -16 -8 -19 -9 -18 -8 -17 -6 -17 -7 -17 -7 -17 -6 -19 -6 -17 -5 -18 -7 -20 -6 -19 -6
3,0.0285,ac:15:18:d4:c9:64,128,44 -64 2 0 -14 -2 -13 -1 -13 0 -13 -1 -13 -1 -13 0 -12 0 -13 0 -13 0 -13 0 -12 0 -13 1 -13 0 -13 0 -14 -1 -14 -1 -13 -1 -13 -2 -12 -2 -12 -2 -11 -2 -10 -2 -11 -2 -10 -3 -10 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -3 -10 -4 -11 -4 -11 -4 -10 -4 -10 -4 -11 -4 -10 -4 -11 -4 -11 -4 -12 -5 -12 -4 -11 -5 -11 -4 -11 -4 -13 -5 -12 -4 -11 -3 -12 -3 -12 -3 -11 -3 -12 -2 -11 -1 -12 -2 -13 -2 -13 -2
4,0.0487,ac:15:18:d4:c9:64,128,44 -64 2 0 11 -18 11 -18 10 -19 9 -18 10 -17 9 -18 9 -17 8 -19 8 -18 9 -19 8 -17 8 -18 8 -18 9 -19 10 -19 10 -19 10 -17 11 -16 10 -16 10 -14 10 -15 10 -13 11 -13 10 -12 11 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -12 11 -12 12 -12 12 -13 12 -12 12 -12 13 -12 12 -12 13 -13 12 -12 15 -13 14 -14 14 -12 13 -13 12 -12 14 -14 12 -14 11 -14 12 -14 12 -14 11 -14 11 -16 9 -15 12 -15 11 -17 11 -16
6,0.0685,ac:15:18:d4:c9:64,128,44 -64 2 0 -22 -1 -22 0 -21 2 -20 1 -20 0 -20 1 -20 1 -21 2 -19 2 -21 2 -19 3 -20 3 -21 2 -21 1 -22 0 -21 1 -20 0 -20 -2 -19 -1 -18 -2 -19 -2 -17 -2 -17 -2 -17 -2 -16 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -16 -3 -17 -3 -18 -4 -17 -4 -18 -4 -18 -5 -17 -5 -18 -5 -17 -4 -20 -5 -19 -4 -19 -5 -19 -4 -18 -4 -20 -5 -20 -3 -18 -2 -18 -2 -18 -3 -18 -2 -19 -2 -17 0 -19 -1 -21 0 -20 -1
8,0.0882,ac:15:18:d4:c9:64,128,44 -64 2 0 0 -23 0 -21 -1 -22 -1 -20 0 -20 -2 -20 -1 -20 -3 -20 -2 -21 -2 -21 -3 -19 -3 -19 -2 -19 -2 -22 -1 -21 0 -22 -1 -20 1 -20 0 -19 2 -18 1 -18 2 -18 3 -17 3 -16 3 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -17 3 -16 4 -18 4 -17 4 -17 4 -16 5 -18 4 -16 4 -18 4 -18 6 -19 5 -20 6 -18 5 -18 4 -17 4 -20 3 -18 2 -18 3 -18 3 -18 2 -18 1 -20 0 -18 2 -20 1 -21 2 -19
11,0.1105,ac:15:18:d4:c9:64,128,44 -64 2 0 -4 -13 -4 -13 -5 -13 -4 -12 -4 -12 -5 -12 -4 -12 -5 -12 -4 -12 -5 -13 -5 -12 -5 -12 -4 -12 -5 -13 -4 -13 -4 -13 -4 -12 -3 -12 -3 -12 -2 -11 -2 -11 -2 -11 -1 -11 -1 -10 0 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -10 -1 -10 -1 -11 -1 -12 -1 -11 0 -11 0 -12 0 -11 -1 -12 -1 -11 0 -13 0 -13 1 -12 0 -12 0 -11 -1 -13 -1 -12 -2 -11 -2 -12 -2 -12 -2 -11 -3 -12 -3 -11 -2 -12 -3 -13 -2 -13
12,0.1277,ac:15:18:d4:c9:64,128,44 -64 2 0 16 12 16 12 18 11 16 10 16 10 17 9 16 9 18 9 16 9 17 11 15 10 16 10 16 9 17 10 17 11 17 11 16 11 15 11 15 10 13 11 13 10 12 11 11 12 10 11 9 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 12 10 12 11 13 11 13 11 13 10 13 11 14 10 13 12 14 10 13 10 16 11 15 10 16 10 15 10 13 12 15 12 13 12 12 12 12 13 12 13 11 14 11 13 11 13 13 15 13 14 13
14,0.1488,ac:15:18:d4:c9:64,128,44 -64 2 0 -5 21 -5 20 -3 20 -3 19 -3 19 -2 20 -2 18 -1 20 -2 19 -2 20 -2 18 -2 19 -2 19 -2 20 -3 20 -3 21 -3 19 -4 18 -2 18 -4 17 -4 17 -5 16 -6 16 -6 15 -6 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 14 -8 13 -9 15 -9 15 -9 14 -9 14 -9 16 -9 14 -9 16 -9 14 -11 15 -11 16 -11 15 -10 16 -8 15 -9 18 -8 17 -6 16 -7 16 -7 17 -6 16 -5 18 -5 16 -7 18 -6 19 -6 18
17,0.1689,ac:15:18:d4:c9:64,128,44 -64 2 0 -9 10 -9 9 -8 10 -8 9 -9 9 -8 9 -8 9 -7 10 -8 9 -8 10 -7 9 -7 9 -8 9 -8 10 -9 10 -9 10 -8 9 -9 8 -8 8 -9 7 -8 7 -8 6 -9 6 -8 6 -8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 6 -8 5 -9 6 -9 6 -9 6 -9 6 -10 6 -9 5 -10 6 -9 5 -11 6 -10 6 -10 6 -10 6 -9 6 -11 7 -10 7 -8 7 -9 7 -9 7 -9 7 -8 8 -8 8 -9 8 -9 9 -9 8
19,0.1900,ac:15:18:d4:c9:64,128,44 -64 2 0 -22 1 -22 2 -21 3 -20 2 -20 3 -21 3 -19 3 -20 5 -19 4 -20 4 -19 4 -19 5 -19 4 -21 4 -21 3 -21 4 -20 3 -20 2 -18 2 -18 0 -18 1 -17 0 -18 0 -16 0 -16 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -16 -3 -18 -3 -18 -3 -17 -4 -17 -4 -18 -4 -17 -4 -18 -4 -17 -4 -20 -5 -20 -4 -19 -4 -19 -3 -17 -3 -20 -4 -19 -2 -18 -1 -19 -2 -19 -2 -18 -1 -20 0 -18 1 -20 -1 -21 1 -19 0
