SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
0,0.0145,ac:15:18:d5:52:64,128,44 -64 2 0 6 9 6 9 7 8 7 8 6 9 7 8 6 8 7 8 6 7 7 7 6 7 7 7 7 7 7 8 7 9 7 8 6 8 5 8 5 7 4 7 5 7 4 7 4 8 3 7 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 7 3 7 3 8 3 8 3 8 3 8 3 9 3 8 3 9 3 8 3 10 3 9 3 9 3 9 3 8 4 9 4 9 4 8 4 8 4 9 4 8 5 8 5 7 5 9 6 9 5 9
2,0.0327,ac:15:18:d5:52:64,128,44 -64 2 0 10 20 12 20 13 17 11 17 11 19 12 18 12 16 13 17 12 16 13 17 12 15 13 16 13 16 12 17 12 19 11 18 11 17 9 17 10 15 8 16 8 16 7 14 6 16 6 14 5 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 16 5 16 6 17 5 18 5 17 5 17 5 19 4 17 5 19 5 17 5 21 6 20 6 20 6 20 6 18 6 20 7 19 7 17 7 18 7 18 8 17 9 19 9 15 9 19 11 19 10 18
5,0.0529,ac:15:18:d5:52:64,128,44 -64 2 0 22 0 24 0 21 -2 21 -1 22 -1 21 -2 20 -1 22 -3 20 -2 21 -3 20 -4 21 -4 21 -2 20 -1 23 0 20 -1 21 0 20 1 19 1 18 2 17 1 16 2 16 2 15 2 15 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 17 2 17 2 19 3 17 3 18 4 19 4 18 4 19 4 18 3 21 4 21 3 20 4 21 3 19 4 21 4 21 3 18 1 19 3 19 2 20 2 21 1 18 -1 21 1 22 -1 22 0
7,0.0736,ac:15:18:d5:52:64,128,44 -64 2 0 -12 2 -12 2 -11 3 -10 3 -11 3 -11 3 -11 3 -11 4 -10 3 -11 3 -10 3 -11 3 -11 4 -11 3 -11 3 -11 3 -10 3 -10 2 -9 2 -10 2 -10 1 -9 1 -9 1 -8 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 0 -9 0 -9 -1 -10 -1 -9 -1 -10 -1 -10 -1 -9 -1 -10 -1 -9 -1 -11 -1 -11 -1 -11 -1 -11 -1 -10 0 -11 -1 -12 0 -9 0 -10 0 -10 1 -10 1 -11 2 -10 2 -11 1 -12 2 -12 1
8,0.0928,ac:15:18:d5:52:64,128,44 -64 2 0 -9 9 -9 10 -7 10 -7 10 -8 9 -7 9 -7 9 -7 10 -6 9 -7 10 -6 9 -6 10 -6 10 -7 9 -8 10 -7 9 -7 9 -8 8 -7 8 -7 7 -7 7 -7 6 -7 6 -7 6 -7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 6 -8 6 -8 6 -9 6 -8 5 -9 6 -9 6 -9 5 -10 6 -8 6 -10 6 -10 7 -10 6 -10 6 -9 6 -10 7 -10 8 -8 7 -8 7 -9 7 -8 7 -8 8 -7 8 -8 8 -8 9 -8 9
10,0.1145,ac:15:18:d5:52:64,128,44 -64 2 0 -23 4 -23 3 -23 5 -21 4 -22 3 -21 5 -21 5 -22 6 -21 5 -22 4 -20 4 -20 4 -20 4 -22 5 -22 4 -23 3 -21 3 -20 2 -19 3 -19 0 -18 1 -18 0 -18 -2 -17 -2 -16 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 0 -18 0 -20 0 -20 0 -19 -1 -18 -1 -21 -1 -18 -2 -21 0 -20 -1 -22 -4 -22 -3 -22 -3 -21 -2 -19 -1 -23 -1 -22 0 -20 1 -20 0 -21 1 -20 1 -20 2 -20 3 -22 1 -23 2 -22 1
12,0.1333,ac:15:18:d5:52:64,128,44 -64 2 0 11 -20 12 -21 10 -20 9 -20 10 -20 9 -20 8 -19 8 -21 7 -19 9 -21 7 -19 8 -20 8 -20 9 -20 10 -20 9 -20 9 -19 11 -17 9 -17 9 -16 9 -16 9 -14 11 -14 10 -13 11 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -14 11 -14 12 -15 13 -15 12 -14 13 -14 13 -15 12 -14 13 -15 12 -14 15 -15 14 -16 15 -16 15 -16 13 -15 14 -16 14 -17 12 -15 12 -16 12 -17 11 -16 11 -19 9 -16 12 -17 11 -20 11 -19
14,0.1555,ac:15:18:d5:52:64,128,44 -64 2 0 -1 -13 -1 -13 -2 -14 -2 -13 -1 -12 -3 -12 -2 -12 -3 -12 -2 -12 -2 -13 -2 -11 -2 -12 -2 -12 -3 -13 -2 -12 -2 -13 -1 -13 -1 -11 -2 -11 0 -11 -1 -10 0 -10 1 -10 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -10 2 -9 2 -11 2 -11 2 -10 2 -10 2 -11 2 -10 2 -11 2 -10 4 -11 3 -12 4 -11 3 -11 2 -11 2 -13 2 -12 1 -11 1 -11 0 -12 1 -11 0 -12 0 -11 1 -12 0 -13 1 -13
16,0.1735,ac:15:18:d5:52:64,128,44 -64 2 0 -12 7 -11 7 -11 8 -9 7 -10 6 -10 7 -9 6 -10 8 -9 7 -10 7 -9 7 -10 7 -10 7 -10 7 -11 6 -10 6 -10 6 -10 5 -9 5 -9 4 -9 4 -9 4 -9 3 -9 3 -9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 4 -9 4 -9 4 -10 4 -10 4 -10 4 -11 4 -9 3 -11 4 -10 4 -12 3 -11 4 -11 3 -11 4 -10 3 -12 4 -11 4 -10 5 -10 4 -10 5 -10 5 -10 6 -9 6 -11 5 -11 7 -11 5
19,0.1957,ac:15:18:d5:52:64,128,44 -64 2 0 0 -13 0 -14 -1 -13 -1 -13 0 -13 -1 -12 -1 -12 -1 -13 -1 -11 -1 -13 -2 -12 -2 -12 -1 -13 -1 -12 -1 -13 -1 -12 0 -12 1 -12 0 -11 1 -10 1 -11 1 -10 1 -10 1 -10 2 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -9 3 -10 3 -10 3 -11 3 -10 3 -10 3 -11 3 -10 4 -11 2 -10 3 -12 3 -12 4 -11 3 -11 3 -11 3 -12 3 -12 1 -10 2 -11 2 -11 2 -11 1 -12 0 -11 1 -12 0 -13 1 -13
